@relation 'voice-weka.filters.unsupervised.attribute.Remove-V-R6,13,21'

@attribute IQR numeric
@attribute meanfun numeric
@attribute label {male,female}

@data
0.075122,0.084279,male
0.073252,0.107937,male
0.123207,0.098706,male
0.111374,0.088965,male
0.127325,0.106398,male
0.141634,0.110132,male
0.112819,0.105945,male
0.12143,0.093052,male
0.120381,0.096729,male
0.126377,0.105881,male
0.11531,0.088894,male
0.115426,0.104199,male
0.126082,0.092644,male
0.100693,0.131504,male
0.111004,0.102799,male
0.112677,0.102046,male
0.112076,0.113323,male
0.121227,0.079718,male
0.124068,0.083484,male
0.120554,0.09013,male
0.125298,0.093574,male
0.125502,0.098643,male
0.113519,0.062542,male
0.126137,0.077698,male
0.116319,0.098944,male
0.121777,0.082963,male
0.121843,0.082451,male
0.122515,0.130598,male
0.117826,0.120052,male
0.122936,0.126607,male
0.121634,0.067407,male
0.123002,0.12772,male
0.125469,0.132726,male
0.123529,0.124685,male
0.125138,0.124533,male
0.117972,0.120254,male
0.073505,0.142748,male
0.119562,0.138904,male
0.072689,0.131376,male
0.117076,0.127529,male
0.114911,0.141183,male
0.116246,0.081564,male
0.112736,0.101681,male
0.112427,0.095597,male
0.112082,0.101719,male
0.105475,0.097532,male
0.113372,0.08046,male
0.116804,0.055565,male
0.114745,0.101395,male
0.11417,0.076307,male
0.117357,0.098873,male
0.112716,0.090751,male
0.11047,0.101395,male
0.111452,0.10932,male
0.11704,0.112256,male
0.123988,0.10367,male
0.117007,0.10325,male
0.18461,0.130888,male
0.178856,0.134314,male
0.100261,0.117359,male
0.144108,0.114743,male
0.109504,0.120815,male
0.136423,0.11026,male
0.144821,0.103803,male
0.137113,0.117022,male
0.130093,0.131734,male
0.12509,0.117298,male
0.04525,0.14181,male
0.06189,0.121546,male
0.070208,0.130983,male
0.075272,0.132089,male
0.107923,0.132075,male
0.11318,0.102626,male
0.050866,0.165155,male
0.11208,0.081165,male
0.063685,0.152013,male
0.104587,0.138198,male
0.07545,0.133717,male
0.076879,0.159107,male
0.066824,0.149387,male
0.104778,0.139378,male
0.056886,0.147351,male
0.092313,0.168038,male
0.095566,0.080595,male
0.085274,0.081017,male
0.075504,0.065827,male
0.093493,0.078363,male
0.09417,0.063475,male
0.088632,0.083128,male
0.07183,0.081505,male
0.081085,0.112023,male
0.081906,0.072136,male
0.094526,0.073051,male
0.150088,0.091147,male
0.165478,0.087918,male
0.163778,0.075907,male
0.154566,0.092961,male
0.12135,0.087384,male
0.122574,0.09038,male
0.155576,0.100796,male
0.132473,0.081201,male
0.177862,0.094923,male
0.147641,0.081575,male
0.118163,0.110566,male
0.115332,0.101841,male
0.112392,0.097513,male
0.11017,0.126956,male
0.125089,0.111032,male
0.104439,0.128124,male
0.121267,0.125993,male
0.108968,0.113944,male
0.124111,0.110461,male
0.114214,0.111528,male
0.12348,0.11109,male
0.191932,0.107765,male
0.140297,0.100032,male
0.13539,0.132119,male
0.079584,0.093611,male
0.133095,0.104772,male
0.14364,0.107765,male
0.131467,0.086094,male
0.118804,0.072396,male
0.140626,0.082758,male
0.15001,0.057045,male
0.143886,0.075929,male
0.134142,0.081219,male
0.129611,0.081858,male
0.153347,0.060966,male
0.123841,0.075178,male
0.133925,0.074281,male
0.087128,0.116122,male
0.074544,0.115129,male
0.079563,0.124133,male
0.093174,0.123414,male
0.080257,0.130055,male
0.150244,0.102114,male
0.146767,0.103533,male
0.144096,0.094653,male
0.11617,0.109043,male
0.138689,0.097562,male
0.138339,0.099846,male
0.135663,0.10403,male
0.151207,0.076737,male
0.145132,0.101642,male
0.140781,0.106525,male
0.124786,0.110127,male
0.153892,0.105228,male
0.172614,0.101964,male
0.13185,0.112681,male
0.177591,0.092354,male
0.173892,0.1028,male
0.172207,0.105633,male
0.181713,0.104676,male
0.172216,0.107386,male
0.166297,0.086614,male
0.14238,0.089305,male
0.141223,0.079046,male
0.124098,0.076996,male
0.133619,0.076255,male
0.147471,0.07347,male
0.117209,0.071791,male
0.138347,0.077557,male
0.125693,0.071474,male
0.144337,0.068518,male
0.140584,0.08987,male
0.114242,0.108795,male
0.12173,0.103376,male
0.156755,0.093395,male
0.149238,0.110761,male
0.162786,0.107189,male
0.156416,0.109992,male
0.137207,0.107986,male
0.12912,0.10282,male
0.114935,0.087281,male
0.123538,0.090939,male
0.100791,0.086565,male
0.10657,0.088512,male
0.109746,0.078778,male
0.119412,0.112568,male
0.095547,0.09356,male
0.10425,0.108234,male
0.114506,0.095089,male
0.107974,0.10551,male
0.101042,0.084462,male
0.125046,0.097881,male
0.115596,0.124567,male
0.122182,0.122605,male
0.127467,0.142062,male
0.149067,0.110157,male
0.129613,0.1086,male
0.116197,0.127453,male
0.122561,0.098098,male
0.107933,0.119752,male
0.14204,0.114736,male
0.104071,0.124045,male
0.120884,0.085122,male
0.106442,0.085837,male
0.121867,0.091389,male
0.111914,0.094506,male
0.113681,0.091533,male
0.129298,0.093467,male
0.105984,0.088959,male
0.111702,0.106672,male
0.125413,0.092796,male
0.106811,0.09165,male
0.100583,0.12743,male
0.116514,0.119785,male
0.101368,0.120378,male
0.129719,0.119851,male
0.092748,0.113754,male
0.132811,0.121152,male
0.126941,0.115707,male
0.099337,0.104839,male
0.095883,0.093218,male
0.105049,0.107672,male
0.1104,0.109008,male
0.103158,0.120185,male
0.106244,0.116419,male
0.109268,0.107101,male
0.109191,0.117565,male
0.10954,0.103156,male
0.105694,0.111501,male
0.100997,0.11049,male
0.114241,0.116298,male
0.107023,0.113219,male
0.106244,0.105128,male
0.092851,0.105465,male
0.154611,0.116308,male
0.149539,0.118943,male
0.11887,0.102382,male
0.132135,0.116251,male
0.119117,0.119859,male
0.116283,0.133667,male
0.161339,0.11593,male
0.142919,0.115237,male
0.118901,0.11639,male
0.136268,0.127758,male
0.149966,0.104197,male
0.145331,0.114503,male
0.133394,0.12177,male
0.149594,0.124954,male
0.164093,0.1057,male
0.140223,0.111934,male
0.115886,0.103553,male
0.126083,0.092952,male
0.099754,0.106848,male
0.184731,0.102683,male
0.167531,0.093241,male
0.130122,0.09014,male
0.183235,0.078679,male
0.169601,0.084083,male
0.14349,0.097809,male
0.15493,0.08923,male
0.125523,0.105474,male
0.144075,0.097032,male
0.18619,0.075519,male
