@relation 'voice_norm-weka.filters.unsupervised.attribute.Remove-V-R13,6,4,9,2,10-11,21'

@attribute meanfun numeric
@attribute IQR numeric
@attribute Q25 numeric
@attribute sp.ent numeric
@attribute sd numeric
@attribute sfm numeric
@attribute mode numeric
@attribute label {male,female}

@data
0.157706,0.254828,0.060063,0.635798,0.473409,0.564526,0,male
0.287642,0.246961,0.077635,0.630964,0.505075,0.591578,0,male
0.236945,0.457148,0.034284,0.442738,0.675536,0.548382,0,male
0.183442,0.407358,0.389906,0.923261,0.554611,0.856457,0.299565,male
0.27919,0.474474,0.317627,0.958736,0.627209,0.926348,0.372362,male
0.299699,0.534679,0.274076,0.922681,0.631448,0.870197,0.401984,male
0.276701,0.413441,0.375003,0.940728,0.578887,0.900382,0.307846,male
0.205893,0.44967,0.446359,0.906544,0.602659,0.847309,0.4583,male
0.226085,0.445258,0.356014,0.953672,0.615573,0.910746,0.782511,male
0.276351,0.470487,0.30492,0.97226,0.639632,0.952323,0.041781,male
0.183053,0.42392,0.409525,0.931178,0.552881,0.864473,0.344137,male
0.267115,0.424407,0.352403,0.93428,0.605621,0.887237,0.043218,male
0.203649,0.469244,0.335532,0.924046,0.645067,0.867521,0.387264,male
0.417081,0.36242,0.52044,0.816924,0.430077,0.620554,0.785095,male
0.259423,0.405803,0.521693,0.828787,0.501693,0.663124,0.178526,male
0.255288,0.412844,0.466875,0.872508,0.526755,0.742281,0.17867,male
0.317225,0.410315,0.534367,0.821445,0.489393,0.6227,0.179033,male
0.132657,0.448816,0.494347,0.814901,0.583101,0.681765,0.214137,male
0.153339,0.460772,0.467498,0.804915,0.575354,0.648669,0.214404,male
0.189839,0.445985,0.499564,0.790094,0.567416,0.597217,0.214381,male
0.208755,0.465944,0.484955,0.767996,0.604059,0.603187,0.214119,male
0.2366,0.466803,0.519769,0.725853,0.577918,0.543931,0.214132,male
0.038316,0.416386,0.460107,0.774059,0.558102,0.627182,0.214076,male
0.121563,0.469475,0.500813,0.719887,0.585509,0.559623,0.214086,male
0.238252,0.428169,0.488411,0.798776,0.601089,0.658199,0.214565,male
0.150476,0.45113,0.479405,0.830169,0.588159,0.703601,0.21416,male
0.147667,0.451409,0.471344,0.784264,0.590974,0.628778,0.214164,male
0.412108,0.454235,0.508145,0.672395,0.551181,0.546944,0.45767,male
0.354185,0.434508,0.493469,0.719605,0.56215,0.62353,0.481366,male
0.390189,0.456007,0.523282,0.470377,0.541778,0.343089,0.477064,male
0.065041,0.450531,0.374325,0.963925,0.574429,0.956102,0.774194,male
0.396299,0.456287,0.493069,0.727911,0.594344,0.649493,0.453642,male
0.423795,0.466666,0.529419,0.567498,0.549874,0.455342,0.48004,male
0.379629,0.458505,0.498954,0.56192,0.548649,0.49603,0.428571,male
0.378796,0.465271,0.515857,0.562822,0.565046,0.468901,0.475754,male
0.355296,0.435122,0.490332,0.749886,0.587244,0.676941,0.477273,male
0.47884,0.248023,0.549506,0.67941,0.504145,0.553321,0.480379,male
0.457725,0.441812,0.536658,0.573489,0.548357,0.537389,0.485401,male
0.416381,0.244591,0.542522,0.539089,0.491065,0.487444,0.491269,male
0.395251,0.431352,0.520327,0.711744,0.553707,0.592666,0.47271,male
0.470245,0.422241,0.530004,0.63662,0.516612,0.480582,0.489527,male
0.142793,0.42786,0.392019,0.830128,0.513854,0.713472,0.433188,male
0.253286,0.41309,0.471913,0.81858,0.47596,0.688841,0.433539,male
0.219869,0.411791,0.400037,0.853511,0.496673,0.734927,0.433291,male
0.253492,0.41034,0.468414,0.772032,0.521207,0.658443,0.433284,male
0.230494,0.382541,0.382971,0.838212,0.513404,0.743092,0.433167,male
0.136729,0.415768,0.448597,0.796251,0.493792,0.658806,0.432905,male
0,0.430207,0.446962,0.861871,0.533149,0.739031,0.433137,male
0.251713,0.421543,0.421755,0.836419,0.507696,0.715458,0.432948,male
0.113923,0.419123,0.349236,0.923146,0.557811,0.856228,0.214022,male
0.237859,0.432534,0.358883,0.937078,0.575796,0.888658,0.21499,male
0.193253,0.413008,0.353742,0.86201,0.554452,0.801568,0.366441,male
0.251712,0.403557,0.366203,0.929632,0.562358,0.865214,0.21474,male
0.295238,0.407689,0.365678,0.936681,0.578277,0.878252,0.214447,male
0.311368,0.431198,0.413609,0.887873,0.555447,0.803589,0.214466,male
0.264205,0.460435,0.35461,0.929848,0.60513,0.871514,0.214076,male
0.261899,0.431063,0.365734,0.95854,0.600852,0.901623,0.214112,male
0.413697,0.715505,0.123245,0.793151,0.706706,0.635612,0.421084,male
0.432517,0.691296,0.20135,0.878845,0.702188,0.772818,0.410042,male
0.339395,0.360601,0.1775,0.951499,0.562082,0.890351,0.041625,male
0.325024,0.545092,0.230972,0.862333,0.637225,0.78624,0.399549,male
0.358377,0.399491,0.41075,0.836784,0.535675,0.711231,0.380151,male
0.300404,0.512757,0.388478,0.830416,0.692231,0.680221,0.403893,male
0.264939,0.548092,0.359092,0.854523,0.717168,0.725152,0.413905,male
0.337544,0.51566,0.453573,0.841411,0.681757,0.692569,0.960637,male
0.418343,0.486121,0.395929,0.852627,0.66808,0.737926,0.401716,male
0.339057,0.46507,0.392216,0.868345,0.645537,0.756491,0.390695,male
0.473689,0.129139,0.547294,0.5824,0.297332,0.3814,0.593536,male
0.362391,0.199154,0.51897,0.74734,0.353218,0.455288,0.596037,male
0.414223,0.234154,0.591586,0.705458,0.370717,0.398416,0.590232,male
0.420296,0.255459,0.507363,0.760191,0.418121,0.55609,0.452996,male
0.420221,0.392841,0.507155,0.703468,0.442921,0.444696,0.462707,male
0.258477,0.414957,0.434343,0.80629,0.475311,0.600513,0.329488,male
0.601908,0.15277,0.749048,0.694618,0.358095,0.434139,0,male
0.140601,0.410331,0.343285,0.713244,0.49809,0.584336,0.300929,male
0.529723,0.206705,0.633992,0.737019,0.343953,0.403776,0,male
0.453846,0.378802,0.577928,0.672279,0.393521,0.324694,0.593536,male
0.42924,0.256208,0.609714,0.797976,0.383146,0.484925,0,male
0.568688,0.262221,0.673242,0.723182,0.38646,0.46652,0.85944,male
0.515301,0.219914,0.599054,0.803013,0.383457,0.590137,0,male
0.460331,0.379606,0.54041,0.804093,0.454891,0.534638,0,male
0.50412,0.178097,0.616606,0.692694,0.315874,0.329923,0.662409,male
0.61774,0.327159,0.630882,0.755606,0.404944,0.443745,0,male
0.137472,0.340847,0.564283,0.694367,0.399954,0.350089,0.32147,male
0.139792,0.297544,0.622456,0.774596,0.367009,0.321813,0.32147,male
0.056363,0.256433,0.618982,0.714059,0.345671,0.307664,0.321637,male
0.125212,0.332127,0.603503,0.785982,0.412461,0.427979,0.321326,male
0.043444,0.334975,0.598631,0.762079,0.391307,0.343808,0.321749,male
0.151383,0.311671,0.616126,0.723863,0.37773,0.326262,0.321307,male
0.142468,0.240977,0.661878,0.702875,0.350711,0.320505,0.321895,male
0.310084,0.279918,0.629568,0.678477,0.37345,0.2912,0.321848,male
0.091011,0.283373,0.645351,0.687615,0.396154,0.336313,0.321848,male
0.096039,0.336469,0.658648,0.709133,0.374353,0.273867,0.321776,male
0.195425,0.570253,0.188196,0.670909,0.631146,0.652505,0,male
0.177693,0.635008,0.091193,0.635511,0.648887,0.64099,0,male
0.111723,0.627851,0.100903,0.62749,0.649565,0.669804,0,male
