@relation 'voice-weka.filters.unsupervised.attribute.Remove-V-R6,9-10,13,17,21'

@attribute IQR numeric
@attribute sp.ent numeric
@attribute sfm numeric
@attribute meanfun numeric
@attribute mindom numeric
@attribute label {male,female}

@data
0.075122,0.893369,0.491918,0.084279,0.007813,male
0.073252,0.892193,0.513724,0.107937,0.007813,male
0.123207,0.846389,0.478905,0.098706,0.007813,male
0.111374,0.963322,0.727232,0.088965,0.007813,male
0.127325,0.971955,0.783568,0.106398,0.007813,male
0.141634,0.963181,0.738307,0.110132,0.007813,male
0.112819,0.967573,0.762638,0.105945,0.007813,male
0.12143,0.959255,0.719858,0.093052,0.007813,male
0.120381,0.970723,0.770992,0.096729,0.007813,male
0.126377,0.975246,0.804505,0.105881,0.015625,male
0.11531,0.965249,0.733693,0.088894,0.007813,male
0.115426,0.966004,0.752042,0.104199,0.007813,male
0.126082,0.963514,0.73615,0.092644,0.015625,male
0.100693,0.937446,0.53708,0.131504,0.007813,male
0.111004,0.940333,0.571394,0.102799,0.203125,male
0.112677,0.950972,0.635199,0.102046,0.007813,male
0.112076,0.938546,0.53881,0.113323,0.007813,male
0.121227,0.936954,0.58642,0.079718,0.007813,male
0.124068,0.934523,0.559742,0.083484,0.007813,male
0.120554,0.930917,0.518269,0.09013,0.007813,male
0.125298,0.925539,0.523081,0.093574,0.007813,male
0.125502,0.915284,0.475317,0.098643,0.007813,male
0.113519,0.927015,0.542422,0.062542,0.007813,male
0.126137,0.913832,0.487966,0.077698,0.007813,male
0.116319,0.93303,0.567424,0.098944,0.007813,male
0.121777,0.940669,0.60402,0.082963,0.007813,male
0.121843,0.929498,0.543709,0.082451,0.007813,male
0.122515,0.902275,0.477746,0.130598,0.007813,male
0.117826,0.913763,0.539479,0.120052,0.007813,male
0.122936,0.853115,0.313426,0.126607,0.007813,male
0.121634,0.973218,0.807552,0.067407,0.007813,male
0.123002,0.915785,0.560407,0.12772,0.007813,male
0.125469,0.876749,0.40391,0.132726,0.007813,male
0.123529,0.875392,0.436706,0.124685,0.007813,male
0.125138,0.875611,0.414839,0.124533,0.007813,male
