@relation 'voice-weka.filters.unsupervised.attribute.Remove-V-R1-2,6-7,10-11,13,20-21'

@attribute meanfreq numeric
@attribute sd numeric
@attribute IQR numeric
@attribute skew numeric
@attribute sfm numeric
@attribute mode numeric
@attribute meanfun numeric
@attribute modindx numeric
@attribute label {male,female}

@data
0.059781,0.064241,0.075122,12.863462,0.491918,0,0.084279,0,male
0.066009,0.06731,0.073252,22.423285,0.513724,0,0.107937,0.052632,male
0.077316,0.083829,0.123207,30.757155,0.478905,0,0.098706,0.046512,male
0.151228,0.072111,0.111374,1.232831,0.727232,0.083878,0.088965,0.247119,male
0.13512,0.079146,0.127325,1.101174,0.783568,0.104261,0.106398,0.208274,male
0.132786,0.079557,0.141634,1.932562,0.738307,0.112555,0.110132,0.12516,male
0.150762,0.074463,0.112819,1.530643,0.762638,0.086197,0.105945,0.123992,male
0.160514,0.076767,0.12143,1.397156,0.719858,0.128324,0.093052,0.283937,male
0.142239,0.078018,0.120381,1.099746,0.770992,0.219103,0.096729,0.148272,male
0.134329,0.08035,0.126377,1.190368,0.804505,0.011699,0.105881,0.08992,male
0.157021,0.071943,0.11531,0.979442,0.733693,0.096358,0.088894,0.2,male
0.138551,0.077054,0.115426,1.62677,0.752042,0.012101,0.104199,0.132351,male
0.137343,0.080877,0.126082,1.378728,0.73615,0.108434,0.092644,0.0885,male
0.181225,0.060042,0.100693,1.36943,0.53708,0.219827,0.131504,0.41655,male
0.183115,0.066982,0.111004,3.568104,0.571394,0.049987,0.102799,0.139332,male
0.174272,0.069411,0.112677,4.485038,0.635199,0.050027,0.102046,0.209311,male
0.190846,0.06579,0.112076,1.562304,0.53881,0.050129,0.113323,0.25478,male
0.171247,0.074872,0.121227,3.20717,0.58642,0.059958,0.079718,0.138355,male
0.168346,0.074121,0.124068,2.704335,0.559742,0.060033,0.083484,0.059537,male
0.173631,0.073352,0.120554,2.804975,0.518269,0.060027,0.09013,0.068124,male
0.172754,0.076903,0.125298,2.967765,0.523081,0.059953,0.093574,0.235069,male
0.181015,0.074369,0.125502,2.587325,0.475317,0.059957,0.098643,0.05994,male
0.163536,0.072449,0.113519,3.58765,0.542422,0.059941,0.062542,0.091699,male
0.170213,0.075105,0.126137,2.816793,0.487966,0.059944,0.077698,0.161791,male
0.160422,0.076615,0.116319,6.253208,0.567424,0.060078,0.098944,0.07389,male
0.1647,0.075362,0.121777,4.208608,0.60402,0.059965,0.082963,0.125926,male
0.169579,0.075635,0.121843,4.269923,0.543709,0.059966,0.082451,0.050841,male
0.169021,0.071778,0.122515,3.079273,0.477746,0.128148,0.130598,0.397354,male
0.16734,0.072841,0.117826,2.192126,0.539479,0.134783,0.120052,0.384778,male
0.180528,0.070867,0.122936,2.799969,0.313426,0.133578,0.126607,0.329241,male
0.153039,0.074031,0.121634,0.885702,0.807552,0.216774,0.067407,0.191346,male
0.166659,0.075961,0.123002,3.281848,0.560407,0.12702,0.12772,0.3325,male
0.175659,0.071652,0.125469,3.736487,0.40391,0.134411,0.132726,0.203437,male
0.174826,0.071533,0.123529,2.576732,0.436706,0.12,0.124685,0.205816,male
0.174065,0.073122,0.125138,3.26304,0.414839,0.133211,0.124533,0.4225,male
0.15953,0.075273,0.117972,1.993501,0.582531,0.133636,0.120254,0.216817,male
0.167648,0.06722,0.073505,1.936065,0.482886,0.134506,0.142748,0.347588,male
0.172436,0.071505,0.119562,4.504441,0.470044,0.135912,0.138904,0.23251,male
0.162981,0.065952,0.072689,4.344838,0.429786,0.137555,0.131376,0.255428,male
0.17021,0.072023,0.117076,2.745951,0.514601,0.132359,0.127529,0.171552,male
0.171401,0.068428,0.114911,2.93044,0.424254,0.137067,0.141183,0.273221,male
0.146886,0.068161,0.116246,2.603394,0.611977,0.121293,0.081564,0.09507,male
0.166764,0.064489,0.112736,2.117203,0.592123,0.121391,0.101681,0.099573,male
0.153692,0.066496,0.112427,2.352594,0.629272,0.121321,0.095597,0.12031,male
0.168011,0.068873,0.112082,2.319626,0.567621,0.12132,0.101719,0.231953,male
0.148281,0.068117,0.105475,3.268475,0.635853,0.121287,0.097532,0.139222,male
0.158596,0.066217,0.113372,3.019164,0.567913,0.121214,0.08046,0.182097,male
0.163643,0.070031,0.116804,1.699529,0.632579,0.121278,0.055565,0.116235,male
0.158657,0.067564,0.114745,1.939663,0.613578,0.121225,0.101395,0.090938,male
0.137893,0.072421,0.11417,2.010993,0.727047,0.059926,0.076307,0.173037,male
0.142716,0.074164,0.117357,1.552269,0.753188,0.060197,0.098873,0.212989,male
0.135053,0.072095,0.112716,3.421779,0.682988,0.102603,0.090751,0.217152,male
0.141461,0.072861,0.11047,2.264115,0.73429,0.060127,0.101395,0.239139,male
0.14128,0.074404,0.111452,2.052551,0.7448,0.060045,0.10932,0.168016,male
0.153851,0.072192,0.11704,1.758893,0.684617,0.06005,0.112256,0.206763,male
0.145641,0.077006,0.123988,2.111481,0.739368,0.059941,0.10367,0.270947,male
0.144858,0.076592,0.117007,2.797502,0.763638,0.059951,0.10325,0.159679,male
0.121683,0.08685,0.18461,2.062324,0.549218,0.117904,0.130888,0.253221,male
0.13565,0.086412,0.178856,1.388276,0.659814,0.114812,0.134314,0.369266,male
0.100399,0.072835,0.100261,0.529584,0.754552,0.011655,0.117359,0.344865,male
0.125088,0.080117,0.144108,2.37739,0.670633,0.111874,0.114743,0.226675,male
0.143486,0.070275,0.109504,1.7932,0.610171,0.106442,0.120815,0.350323,male
0.143197,0.085447,0.136423,1.936127,0.585175,0.11309,0.11026,0.187397,male
0.145532,0.087864,0.144821,1.458799,0.621392,0.115893,0.103803,0.16681,male
0.162065,0.084432,0.137113,1.578563,0.595128,0.268978,0.117022,0.189218,male
0.142961,0.083107,0.130093,1.831168,0.631689,0.11248,0.131734,0.156378,male
0.141153,0.080922,0.12509,1.724298,0.646653,0.109395,0.117298,0.18723,male
0.167334,0.047178,0.04525,3.961908,0.344307,0.16619,0.14181,0.021648,male
0.16785,0.052594,0.06189,1.91923,0.403866,0.16689,0.121546,0.074189,male
0.185098,0.054289,0.070208,1.601739,0.358023,0.165265,0.130983,0.095827,male
0.167762,0.058883,0.075272,2.5315,0.485118,0.126839,0.132089,0.058374,male
0.171094,0.061287,0.107923,2.789593,0.395328,0.129558,0.132075,0.20155,male
0.167083,0.064426,0.11318,1.870944,0.520926,0.092257,0.102626,0.021944,male
0.20083,0.053066,0.050866,1.840901,0.386818,0,0.165155,0.336376,male
0.137096,0.066633,0.11208,4.078217,0.507886,0.08426,0.081165,0.04606,male
0.190325,0.051696,0.063685,1.461859,0.362344,0,0.152013,0.211735,male
0.187139,0.056499,0.104587,1.411153,0.298599,0.16619,0.138198,0.127006,male
0.184355,0.055494,0.07545,1.588014,0.427755,0,0.133717,0.316104,male
0.200042,0.055815,0.076879,2.926781,0.412919,0.240643,0.159107,0.119744,male
0.175682,0.055524,0.066824,1.759853,0.512562,0,0.149387,0.19049,male
0.184851,0.062447,0.104778,1.661061,0.467826,0,0.139378,0.349768,male
0.18263,0.048975,0.056886,1.628579,0.302814,0.185474,0.147351,0.205848,male
0.196463,0.057606,0.092313,1.197041,0.394561,0,0.168038,0.259015,male
0.191311,0.057123,0.095566,6.995045,0.319069,0.090012,0.080595,0.142063,male
0.196006,0.05393,0.085274,4.038263,0.296277,0.090012,0.081017,0.176329,male
0.191462,0.051862,0.075504,4.19651,0.284872,0.090058,0.065827,0.105691,male
0.193769,0.058335,0.093493,5.251239,0.381853,0.089971,0.078363,0.133274,male
0.194921,0.056285,0.09417,6.983667,0.314006,0.09009,0.063475,0.09881,male
0.193808,0.054969,0.088632,4.057909,0.299863,0.089966,0.083128,0.116996,male
0.193589,0.052351,0.07183,5.417713,0.295222,0.090131,0.081505,0.08176,male
0.198295,0.054554,0.081085,3.844959,0.271601,0.090117,0.112023,0.092992,male
0.198778,0.056755,0.081906,6.230335,0.307965,0.090117,0.072136,0.12677,male
0.206312,0.054642,0.094526,3.957725,0.257629,0.090097,0.073051,0.244472,male
0.117778,0.079528,0.150088,23.538061,0.562834,0,0.091147,0,male
0.105782,0.081247,0.165478,27.952901,0.553553,0,0.087918,0,male
0.107009,0.081313,0.163778,24.705118,0.576778,0,0.075907,0,male
0.119006,0.083083,0.154566,26.879675,0.604149,0,0.092961,0,male
0.082526,0.080918,0.12135,15.891002,0.561684,0,0.087384,0.043478,male
0.130674,0.082882,0.122574,27.705119,0.584464,0,0.09038,0,male
