@relation 'voice-weka.filters.unsupervised.attribute.Remove-V-R2-6,10,13,19,21'

@attribute sd numeric
@attribute median numeric
@attribute Q25 numeric
@attribute Q75 numeric
@attribute IQR numeric
@attribute sfm numeric
@attribute meanfun numeric
@attribute dfrange numeric
@attribute label {male,female}

@data
0.064241,0.032027,0.015071,0.090193,0.075122,0.491918,0.084279,0,male
0.06731,0.040229,0.019414,0.092666,0.073252,0.513724,0.107937,0.046875,male
0.083829,0.036718,0.008701,0.131908,0.123207,0.478905,0.098706,0.007813,male
0.072111,0.158011,0.096582,0.207955,0.111374,0.727232,0.088965,0.554688,male
0.079146,0.124656,0.07872,0.206045,0.127325,0.783568,0.106398,5.476563,male
0.079557,0.11909,0.067958,0.209592,0.141634,0.738307,0.110132,2.71875,male
0.074463,0.160106,0.092899,0.205718,0.112819,0.762638,0.105945,5.304688,male
0.076767,0.144337,0.110532,0.231962,0.12143,0.719858,0.093052,0.53125,male
0.078018,0.138587,0.088206,0.208587,0.120381,0.770992,0.096729,2.15625,male
0.08035,0.121451,0.07558,0.201957,0.126377,0.804505,0.105881,4.679688,male
0.071943,0.16816,0.10143,0.21674,0.11531,0.733693,0.088894,2.804688,male
0.077054,0.127527,0.087314,0.202739,0.115426,0.752042,0.104199,2.710938,male
0.080877,0.124263,0.083145,0.209227,0.126082,0.73615,0.092644,5,male
0.060042,0.190953,0.128839,0.229532,0.100693,0.53708,0.131504,2.796875,male
0.066982,0.191233,0.129149,0.240152,0.111004,0.571394,0.102799,6.539063,male
0.069411,0.190874,0.115602,0.228279,0.112677,0.635199,0.102046,6.992188,male
0.06579,0.207951,0.13228,0.244357,0.112076,0.53881,0.113323,6.3125,male
0.074872,0.152807,0.122391,0.243617,0.121227,0.58642,0.079718,0.5625,male
0.074121,0.145618,0.115756,0.239824,0.124068,0.559742,0.083484,3.117188,male
0.073352,0.153569,0.12368,0.244234,0.120554,0.518269,0.09013,2.8125,male
0.076903,0.177736,0.12007,0.245368,0.125298,0.523081,0.093574,0.710938,male
0.074369,0.169299,0.128673,0.254175,0.125502,0.475317,0.098643,3.6875,male
0.072449,0.145543,0.11393,0.227449,0.113519,0.542422,0.062542,0.4375,male
0.075105,0.146053,0.123989,0.250126,0.126137,0.487966,0.077698,0.554688,male
