@relation 'voice-weka.filters.unsupervised.attribute.Remove-V-R6,10-13,21'

@attribute IQR numeric
@attribute sfm numeric
@attribute mode numeric
@attribute centroid numeric
@attribute meanfun numeric
@attribute label {male,female}

@data
0.075122,0.491918,0,0.059781,0.084279,male
0.073252,0.513724,0,0.066009,0.107937,male
0.123207,0.478905,0,0.077316,0.098706,male
0.111374,0.727232,0.083878,0.151228,0.088965,male
0.127325,0.783568,0.104261,0.13512,0.106398,male
0.141634,0.738307,0.112555,0.132786,0.110132,male
0.112819,0.762638,0.086197,0.150762,0.105945,male
0.12143,0.719858,0.128324,0.160514,0.093052,male
0.120381,0.770992,0.219103,0.142239,0.096729,male
0.126377,0.804505,0.011699,0.134329,0.105881,male
0.11531,0.733693,0.096358,0.157021,0.088894,male
0.115426,0.752042,0.012101,0.138551,0.104199,male
0.126082,0.73615,0.108434,0.137343,0.092644,male
0.100693,0.53708,0.219827,0.181225,0.131504,male
0.111004,0.571394,0.049987,0.183115,0.102799,male
0.112677,0.635199,0.050027,0.174272,0.102046,male
0.112076,0.53881,0.050129,0.190846,0.113323,male
0.121227,0.58642,0.059958,0.171247,0.079718,male
0.124068,0.559742,0.060033,0.168346,0.083484,male
0.120554,0.518269,0.060027,0.173631,0.09013,male
0.125298,0.523081,0.059953,0.172754,0.093574,male
0.125502,0.475317,0.059957,0.181015,0.098643,male
0.113519,0.542422,0.059941,0.163536,0.062542,male
0.126137,0.487966,0.059944,0.170213,0.077698,male
0.116319,0.567424,0.060078,0.160422,0.098944,male
0.121777,0.60402,0.059965,0.1647,0.082963,male
0.121843,0.543709,0.059966,0.169579,0.082451,male
0.122515,0.477746,0.128148,0.169021,0.130598,male
0.117826,0.539479,0.134783,0.16734,0.120052,male
0.122936,0.313426,0.133578,0.180528,0.126607,male
0.121634,0.807552,0.216774,0.153039,0.067407,male
0.123002,0.560407,0.12702,0.166659,0.12772,male
0.125469,0.40391,0.134411,0.175659,0.132726,male
0.123529,0.436706,0.12,0.174826,0.124685,male
0.125138,0.414839,0.133211,0.174065,0.124533,male
0.117972,0.582531,0.133636,0.15953,0.120254,male
0.073505,0.482886,0.134506,0.167648,0.142748,male
0.119562,0.470044,0.135912,0.172436,0.138904,male
0.072689,0.429786,0.137555,0.162981,0.131376,male
0.117076,0.514601,0.132359,0.17021,0.127529,male
0.114911,0.424254,0.137067,0.171401,0.141183,male
0.116246,0.611977,0.121293,0.146886,0.081564,male
0.112736,0.592123,0.121391,0.166764,0.101681,male
0.112427,0.629272,0.121321,0.153692,0.095597,male
0.112082,0.567621,0.12132,0.168011,0.101719,male
0.105475,0.635853,0.121287,0.148281,0.097532,male
0.113372,0.567913,0.121214,0.158596,0.08046,male
0.116804,0.632579,0.121278,0.163643,0.055565,male
0.114745,0.613578,0.121225,0.158657,0.101395,male
0.11417,0.727047,0.059926,0.137893,0.076307,male
0.117357,0.753188,0.060197,0.142716,0.098873,male
0.112716,0.682988,0.102603,0.135053,0.090751,male
0.11047,0.73429,0.060127,0.141461,0.101395,male
0.111452,0.7448,0.060045,0.14128,0.10932,male
0.11704,0.684617,0.06005,0.153851,0.112256,male
0.123988,0.739368,0.059941,0.145641,0.10367,male
0.117007,0.763638,0.059951,0.144858,0.10325,male
0.18461,0.549218,0.117904,0.121683,0.130888,male
0.178856,0.659814,0.114812,0.13565,0.134314,male
0.100261,0.754552,0.011655,0.100399,0.117359,male
0.144108,0.670633,0.111874,0.125088,0.114743,male
0.109504,0.610171,0.106442,0.143486,0.120815,male
0.136423,0.585175,0.11309,0.143197,0.11026,male
0.144821,0.621392,0.115893,0.145532,0.103803,male
0.137113,0.595128,0.268978,0.162065,0.117022,male
0.130093,0.631689,0.11248,0.142961,0.131734,male
0.12509,0.646653,0.109395,0.141153,0.117298,male
0.04525,0.344307,0.16619,0.167334,0.14181,male
0.06189,0.403866,0.16689,0.16785,0.121546,male
0.070208,0.358023,0.165265,0.185098,0.130983,male
0.075272,0.485118,0.126839,0.167762,0.132089,male
0.107923,0.395328,0.129558,0.171094,0.132075,male
0.11318,0.520926,0.092257,0.167083,0.102626,male
0.050866,0.386818,0,0.20083,0.165155,male
0.11208,0.507886,0.08426,0.137096,0.081165,male
0.063685,0.362344,0,0.190325,0.152013,male
0.104587,0.298599,0.16619,0.187139,0.138198,male
0.07545,0.427755,0,0.184355,0.133717,male
0.076879,0.412919,0.240643,0.200042,0.159107,male
0.066824,0.512562,0,0.175682,0.149387,male
0.104778,0.467826,0,0.184851,0.139378,male
0.056886,0.302814,0.185474,0.18263,0.147351,male
0.092313,0.394561,0,0.196463,0.168038,male
0.095566,0.319069,0.090012,0.191311,0.080595,male
0.085274,0.296277,0.090012,0.196006,0.081017,male
0.075504,0.284872,0.090058,0.191462,0.065827,male
0.093493,0.381853,0.089971,0.193769,0.078363,male
0.09417,0.314006,0.09009,0.194921,0.063475,male
0.088632,0.299863,0.089966,0.193808,0.083128,male
0.07183,0.295222,0.090131,0.193589,0.081505,male
