@relation 'voice-weka.filters.unsupervised.attribute.Remove-V-R3-5,7,9-11,13-19,21'

@attribute median numeric
@attribute Q25 numeric
@attribute Q75 numeric
@attribute skew numeric
@attribute sp.ent numeric
@attribute sfm numeric
@attribute mode numeric
@attribute meanfun numeric
@attribute minfun numeric
@attribute maxfun numeric
@attribute meandom numeric
@attribute mindom numeric
@attribute maxdom numeric
@attribute dfrange numeric
@attribute label {male,female}

@data
0.032027,0.015071,0.090193,12.863462,0.893369,0.491918,0,0.084279,0.015702,0.275862,0.007813,0.007813,0.007813,0,male
0.040229,0.019414,0.092666,22.423285,0.892193,0.513724,0,0.107937,0.015826,0.25,0.009014,0.007813,0.054688,0.046875,male
0.036718,0.008701,0.131908,30.757155,0.846389,0.478905,0,0.098706,0.015656,0.271186,0.00799,0.007813,0.015625,0.007813,male
0.158011,0.096582,0.207955,1.232831,0.963322,0.727232,0.083878,0.088965,0.017798,0.25,0.201497,0.007813,0.5625,0.554688,male
0.124656,0.07872,0.206045,1.101174,0.971955,0.783568,0.104261,0.106398,0.016931,0.266667,0.712812,0.007813,5.484375,5.476563,male
0.11909,0.067958,0.209592,1.932562,0.963181,0.738307,0.112555,0.110132,0.017112,0.253968,0.298222,0.007813,2.726563,2.71875,male
0.160106,0.092899,0.205718,1.530643,0.967573,0.762638,0.086197,0.105945,0.02623,0.266667,0.47962,0.007813,5.3125,5.304688,male
0.144337,0.110532,0.231962,1.397156,0.959255,0.719858,0.128324,0.093052,0.017758,0.144144,0.301339,0.007813,0.539063,0.53125,male
0.138587,0.088206,0.208587,1.099746,0.970723,0.770992,0.219103,0.096729,0.017957,0.25,0.336476,0.007813,2.164063,2.15625,male
0.121451,0.07558,0.201957,1.190368,0.975246,0.804505,0.011699,0.105881,0.0193,0.262295,0.340365,0.015625,4.695313,4.679688,male
0.16816,0.10143,0.21674,0.979442,0.965249,0.733693,0.096358,0.088894,0.022069,0.117647,0.460227,0.007813,2.8125,2.804688,male
0.127527,0.087314,0.202739,1.62677,0.966004,0.752042,0.012101,0.104199,0.019139,0.262295,0.246094,0.007813,2.71875,2.710938,male
