@relation 'voice-weka.filters.unsupervised.attribute.Remove-R8,12,19-weka.filters.unsupervised.attribute.Remove-V-R11,6,4,8,2,9-10,18'

@attribute meanfun numeric
@attribute IQR numeric
@attribute Q25 numeric
@attribute sp.ent numeric
@attribute sd numeric
@attribute sfm numeric
@attribute mode numeric
@attribute label {male,female}

@data
0.084279,0.075122,0.015071,0.893369,0.064241,0.491918,0,male
0.107937,0.073252,0.019414,0.892193,0.06731,0.513724,0,male
0.098706,0.123207,0.008701,0.846389,0.083829,0.478905,0,male
0.088965,0.111374,0.096582,0.963322,0.072111,0.727232,0.083878,male
0.106398,0.127325,0.07872,0.971955,0.079146,0.783568,0.104261,male
0.110132,0.141634,0.067958,0.963181,0.079557,0.738307,0.112555,male
0.105945,0.112819,0.092899,0.967573,0.074463,0.762638,0.086197,male
0.093052,0.12143,0.110532,0.959255,0.076767,0.719858,0.128324,male
0.096729,0.120381,0.088206,0.970723,0.078018,0.770992,0.219103,male
0.105881,0.126377,0.07558,0.975246,0.08035,0.804505,0.011699,male
0.088894,0.11531,0.10143,0.965249,0.071943,0.733693,0.096358,male
0.104199,0.115426,0.087314,0.966004,0.077054,0.752042,0.012101,male
0.092644,0.126082,0.083145,0.963514,0.080877,0.73615,0.108434,male
0.131504,0.100693,0.128839,0.937446,0.060042,0.53708,0.219827,male
0.102799,0.111004,0.129149,0.940333,0.066982,0.571394,0.049987,male
0.102046,0.112677,0.115602,0.950972,0.069411,0.635199,0.050027,male
0.113323,0.112076,0.13228,0.938546,0.06579,0.53881,0.050129,male
0.079718,0.121227,0.122391,0.936954,0.074872,0.58642,0.059958,male
0.083484,0.124068,0.115756,0.934523,0.074121,0.559742,0.060033,male
0.09013,0.120554,0.12368,0.930917,0.073352,0.518269,0.060027,male
0.093574,0.125298,0.12007,0.925539,0.076903,0.523081,0.059953,male
0.098643,0.125502,0.128673,0.915284,0.074369,0.475317,0.059957,male
0.062542,0.113519,0.11393,0.927015,0.072449,0.542422,0.059941,male
0.077698,0.126137,0.123989,0.913832,0.075105,0.487966,0.059944,male
0.098944,0.116319,0.120924,0.93303,0.076615,0.567424,0.060078,male
0.082963,0.121777,0.118698,0.940669,0.075362,0.60402,0.059965,male
0.082451,0.121843,0.116706,0.929498,0.075635,0.543709,0.059966,male
0.130598,0.122515,0.125801,0.902275,0.071778,0.477746,0.128148,male
0.120052,0.117826,0.122174,0.913763,0.072841,0.539479,0.134783,male
0.126607,0.122936,0.129541,0.853115,0.070867,0.313426,0.133578,male
0.067407,0.121634,0.092731,0.973218,0.074031,0.807552,0.216774,male
0.12772,0.123002,0.122075,0.915785,0.075961,0.560407,0.12702,male
0.132726,0.125469,0.131058,0.876749,0.071652,0.40391,0.134411,male
0.124685,0.123529,0.123529,0.875392,0.071533,0.436706,0.12,male
0.124533,0.125138,0.127706,0.875611,0.073122,0.414839,0.133211,male
0.120254,0.117972,0.121399,0.921132,0.075273,0.582531,0.133636,male
0.142748,0.073505,0.136022,0.903982,0.06722,0.482886,0.134506,male
0.138904,0.119562,0.132847,0.878207,0.071505,0.470044,0.135912,male
0.131376,0.072689,0.134296,0.869836,0.065952,0.429786,0.137555,male
0.127529,0.117076,0.128811,0.911851,0.072023,0.514601,0.132359,male
0.141183,0.114911,0.131202,0.89357,0.068428,0.424254,0.137067,male
