@relation 'voice-weka.filters.unsupervised.attribute.Remove-V-R2,6,8,10-11,13-16,18,21'

@attribute sd numeric
@attribute IQR numeric
@attribute kurt numeric
@attribute sfm numeric
@attribute mode numeric
@attribute meanfun numeric
@attribute minfun numeric
@attribute maxfun numeric
@attribute meandom numeric
@attribute maxdom numeric
@attribute label {male,female}

@data
0.064241,0.075122,274.402906,0.491918,0,0.084279,0.015702,0.275862,0.007813,0.007813,male
0.06731,0.073252,634.613855,0.513724,0,0.107937,0.015826,0.25,0.009014,0.054688,male
0.083829,0.123207,1024.927705,0.478905,0,0.098706,0.015656,0.271186,0.00799,0.015625,male
0.072111,0.111374,4.177296,0.727232,0.083878,0.088965,0.017798,0.25,0.201497,0.5625,male
0.079146,0.127325,4.333713,0.783568,0.104261,0.106398,0.016931,0.266667,0.712812,5.484375,male
0.079557,0.141634,8.308895,0.738307,0.112555,0.110132,0.017112,0.253968,0.298222,2.726563,male
0.074463,0.112819,5.987498,0.762638,0.086197,0.105945,0.02623,0.266667,0.47962,5.3125,male
0.076767,0.12143,4.766611,0.719858,0.128324,0.093052,0.017758,0.144144,0.301339,0.539063,male
0.078018,0.120381,4.070284,0.770992,0.219103,0.096729,0.017957,0.25,0.336476,2.164063,male
0.08035,0.126377,4.78731,0.804505,0.011699,0.105881,0.0193,0.262295,0.340365,4.695313,male
0.071943,0.11531,3.974223,0.733693,0.096358,0.088894,0.022069,0.117647,0.460227,2.8125,male
0.077054,0.115426,6.291365,0.752042,0.012101,0.104199,0.019139,0.262295,0.246094,2.71875,male
0.080877,0.126082,5.008952,0.73615,0.108434,0.092644,0.016789,0.213333,0.481671,5.015625,male
0.060042,0.100693,5.4756,0.53708,0.219827,0.131504,0.025,0.275862,1.277114,2.804688,male
0.066982,0.111004,35.384748,0.571394,0.049987,0.102799,0.020833,0.275862,1.245739,6.742188,male
0.069411,0.112677,61.764908,0.635199,0.050027,0.102046,0.018328,0.246154,1.621299,7,male
0.06579,0.112076,7.83435,0.53881,0.050129,0.113323,0.017544,0.275862,1.434115,6.320313,male
0.074872,0.121227,25.765565,0.58642,0.059958,0.079718,0.015671,0.262295,0.106279,0.570313,male
0.074121,0.124068,18.484703,0.559742,0.060033,0.083484,0.015717,0.231884,0.146563,3.125,male
0.073352,0.120554,20.857543,0.518269,0.060027,0.09013,0.015702,0.210526,0.193044,2.820313,male
0.076903,0.125298,20.078115,0.523081,0.059953,0.093574,0.015764,0.2,0.235877,0.71875,male
0.074369,0.125502,12.281432,0.475317,0.059957,0.098643,0.016145,0.275862,0.209844,3.695313,male
0.072449,0.113519,28.653781,0.542422,0.059941,0.062542,0.015686,0.197531,0.059622,0.445313,male
0.075105,0.126137,13.764582,0.487966,0.059944,0.077698,0.015702,0.192771,0.101563,0.5625,male
0.076615,0.116319,85.491926,0.567424,0.060078,0.098944,0.016097,0.275862,0.206756,3.953125,male
0.075362,0.121777,43.681885,0.60402,0.059965,0.082963,0.01564,0.253968,0.143353,1.0625,male
0.075635,0.121843,45.895248,0.543709,0.059966,0.082451,0.016211,0.271186,0.148438,3.609375,male
0.071778,0.122515,14.340299,0.477746,0.128148,0.130598,0.015842,0.225352,0.335313,0.710938,male
0.072841,0.117826,8.15241,0.539479,0.134783,0.120052,0.016244,0.262295,0.298678,0.679688,male
0.070867,0.122936,12.190361,0.313426,0.133578,0.126607,0.017039,0.177778,0.234863,0.507813,male
0.074031,0.121634,3.523982,0.807552,0.216774,0.067407,0.01626,0.205128,0.261562,1.023438,male
0.075961,0.123002,16.619482,0.560407,0.12702,0.12772,0.017279,0.275862,0.274503,0.632813,male
0.071652,0.125469,21.666669,0.40391,0.134411,0.132726,0.016563,0.228571,0.257813,0.648438,male
0.071533,0.123529,10.110125,0.436706,0.12,0.124685,0.016754,0.25,0.799006,4.171875,male
0.073122,0.125138,16.424055,0.414839,0.133211,0.124533,0.016343,0.231884,0.244945,0.632813,male
0.075273,0.117972,6.870351,0.582531,0.133636,0.120254,0.018412,0.168421,0.372869,2.609375,male
0.06722,0.073505,6.334626,0.482886,0.134506,0.142748,0.016615,0.262295,0.239583,0.601563,male
0.071505,0.119562,31.078417,0.470044,0.135912,0.138904,0.121212,0.172043,0.260937,0.554688,male
0.065952,0.072689,26.589605,0.429786,0.137555,0.131376,0.016771,0.181818,0.187891,0.6875,male
0.072023,0.117076,11.784297,0.514601,0.132359,0.127529,0.016162,0.25,0.328465,0.914063,male
0.068428,0.114911,13.726135,0.424254,0.137067,0.141183,0.015842,0.262295,0.313657,0.695313,male
0.068161,0.116246,13.265851,0.611977,0.121293,0.081564,0.015936,0.242424,0.346768,4.179688,male
0.064489,0.112736,8.939176,0.592123,0.121391,0.101681,0.01564,0.253968,0.419531,2.820313,male
0.066496,0.112427,13.907932,0.629272,0.121321,0.095597,0.01592,0.242424,0.607611,4.726563,male
0.068873,0.112082,8.564218,0.567621,0.12132,0.101719,0.016,0.262295,0.204153,0.625,male
0.068117,0.105475,22.896445,0.635853,0.121287,0.097532,0.01581,0.275862,0.715745,5.226563,male
0.066217,0.113372,17.536425,0.567913,0.121214,0.08046,0.016064,0.266667,0.264129,1.335938,male
0.070031,0.116804,7.628756,0.632579,0.121278,0.055565,0.016277,0.213333,0.162642,0.671875,male
0.067564,0.114745,8.203832,0.613578,0.121225,0.101395,0.015779,0.275862,0.467797,6.882813,male
0.072421,0.11417,10.262074,0.727047,0.059926,0.076307,0.016211,0.128,0.505859,4.664063,male
0.074164,0.117357,7.230188,0.753188,0.060197,0.098873,0.018735,0.207792,0.853299,4.664063,male
0.072095,0.112716,19.133217,0.682988,0.102603,0.090751,0.017241,0.2,0.615313,4.445313,male
0.072861,0.11047,13.082297,0.73429,0.060127,0.101395,0.021798,0.235294,0.896282,5.15625,male
0.074404,0.111452,10.941306,0.7448,0.060045,0.10932,0.026711,0.228571,0.974688,5.828125,male
0.072192,0.11704,7.132438,0.684617,0.06005,0.112256,0.02473,0.275862,0.628701,2.703125,male
0.077006,0.123988,11.535716,0.739368,0.059941,0.10367,0.015671,0.275862,0.92048,5.429688,male
0.076592,0.117007,29.553647,0.763638,0.059951,0.10325,0.021277,0.266667,0.791667,4.992188,male
0.08685,0.18461,8.465574,0.549218,0.117904,0.130888,0.020356,0.271186,0.583417,3.726563,male
0.086412,0.178856,5.009017,0.659814,0.114812,0.134314,0.060837,0.25,1.10875,4.296875,male
0.072835,0.100261,2.068455,0.754552,0.011655,0.117359,0.015936,0.262295,1.08676,4.34375,male
0.080117,0.144108,10.55072,0.670633,0.111874,0.114743,0.02439,0.271186,0.560033,4.296875,male
0.070275,0.109504,6.661533,0.610171,0.106442,0.120815,0.033333,0.266667,1.116667,4.5625,male
0.085447,0.136423,7.989101,0.585175,0.11309,0.11026,0.027257,0.262295,0.652778,4.570313,male
0.087864,0.144821,5.010379,0.621392,0.115893,0.103803,0.015686,0.275862,0.706342,4.976563,male
0.084432,0.137113,5.179449,0.595128,0.268978,0.117022,0.016529,0.25,0.599144,4.578125,male
0.083107,0.130093,7.158765,0.631689,0.11248,0.131734,0.054054,0.25,0.410547,2.71875,male
0.080922,0.12509,6.313517,0.646653,0.109395,0.117298,0.018868,0.258065,0.639617,4.0625,male
0.047178,0.04525,24.419622,0.344307,0.16619,0.14181,0.016032,0.253968,0.578125,6.921875,male
0.052594,0.06189,7.131329,0.403866,0.16689,0.121546,0.015952,0.262295,0.813179,6.570313,male
0.054289,0.070208,5.223786,0.358023,0.165265,0.130983,0.016162,0.266667,0.568287,5.140625,male
0.058883,0.075272,11.509485,0.485118,0.126839,0.132089,0.01854,0.253968,1.04852,6.84375,male
0.061287,0.107923,13.537515,0.395328,0.129558,0.132075,0.026187,0.202532,0.299279,0.679688,male
0.064426,0.11318,8.381557,0.520926,0.092257,0.102626,0.020833,0.25,0.637835,5.203125,male
0.053066,0.050866,6.006801,0.386818,0,0.165155,0.015764,0.271186,1.067057,5.59375,male
0.066633,0.11208,25.663216,0.507886,0.08426,0.081165,0.016667,0.262295,0.195313,2.171875,male
0.051696,0.063685,5.360319,0.362344,0,0.152013,0.021136,0.246154,0.884549,6.71875,male
0.056499,0.104587,4.149302,0.298599,0.16619,0.138198,0.016684,0.231884,0.801339,6.640625,male
0.055494,0.07545,8.990048,0.427755,0,0.133717,0.018519,0.266667,1.795625,7,male
0.055815,0.076879,15.253787,0.412919,0.240643,0.159107,0.020101,0.266667,0.622656,6.390625,male
0.055524,0.066824,6.471364,0.512562,0,0.149387,0.0199,0.253968,0.807112,6.5625,male
0.062447,0.104778,10.894108,0.467826,0,0.139378,0.025078,0.275862,1.7525,6.726563,male
0.048975,0.056886,5.586837,0.302814,0.185474,0.147351,0.0199,0.262295,1.036865,6.820313,male
