@relation 'voice-weka.filters.unsupervised.attribute.Remove-V-R6,8-11,13-14,16,21'

@attribute IQR numeric
@attribute kurt numeric
@attribute sp.ent numeric
@attribute sfm numeric
@attribute mode numeric
@attribute meanfun numeric
@attribute minfun numeric
@attribute meandom numeric
@attribute label {male,female}

@data
0.075122,274.402906,0.893369,0.491918,0,0.084279,0.015702,0.007813,male
0.073252,634.613855,0.892193,0.513724,0,0.107937,0.015826,0.009014,male
0.123207,1024.927705,0.846389,0.478905,0,0.098706,0.015656,0.00799,male
0.111374,4.177296,0.963322,0.727232,0.083878,0.088965,0.017798,0.201497,male
0.127325,4.333713,0.971955,0.783568,0.104261,0.106398,0.016931,0.712812,male
0.141634,8.308895,0.963181,0.738307,0.112555,0.110132,0.017112,0.298222,male
0.112819,5.987498,0.967573,0.762638,0.086197,0.105945,0.02623,0.47962,male
0.12143,4.766611,0.959255,0.719858,0.128324,0.093052,0.017758,0.301339,male
0.120381,4.070284,0.970723,0.770992,0.219103,0.096729,0.017957,0.336476,male
0.126377,4.78731,0.975246,0.804505,0.011699,0.105881,0.0193,0.340365,male
0.11531,3.974223,0.965249,0.733693,0.096358,0.088894,0.022069,0.460227,male
0.115426,6.291365,0.966004,0.752042,0.012101,0.104199,0.019139,0.246094,male
0.126082,5.008952,0.963514,0.73615,0.108434,0.092644,0.016789,0.481671,male
0.100693,5.4756,0.937446,0.53708,0.219827,0.131504,0.025,1.277114,male
0.111004,35.384748,0.940333,0.571394,0.049987,0.102799,0.020833,1.245739,male
0.112677,61.764908,0.950972,0.635199,0.050027,0.102046,0.018328,1.621299,male
0.112076,7.83435,0.938546,0.53881,0.050129,0.113323,0.017544,1.434115,male
0.121227,25.765565,0.936954,0.58642,0.059958,0.079718,0.015671,0.106279,male
0.124068,18.484703,0.934523,0.559742,0.060033,0.083484,0.015717,0.146563,male
0.120554,20.857543,0.930917,0.518269,0.060027,0.09013,0.015702,0.193044,male
0.125298,20.078115,0.925539,0.523081,0.059953,0.093574,0.015764,0.235877,male
0.125502,12.281432,0.915284,0.475317,0.059957,0.098643,0.016145,0.209844,male
0.113519,28.653781,0.927015,0.542422,0.059941,0.062542,0.015686,0.059622,male
0.126137,13.764582,0.913832,0.487966,0.059944,0.077698,0.015702,0.101563,male
0.116319,85.491926,0.93303,0.567424,0.060078,0.098944,0.016097,0.206756,male
0.121777,43.681885,0.940669,0.60402,0.059965,0.082963,0.01564,0.143353,male
0.121843,45.895248,0.929498,0.543709,0.059966,0.082451,0.016211,0.148438,male
0.122515,14.340299,0.902275,0.477746,0.128148,0.130598,0.015842,0.335313,male
0.117826,8.15241,0.913763,0.539479,0.134783,0.120052,0.016244,0.298678,male
0.122936,12.190361,0.853115,0.313426,0.133578,0.126607,0.017039,0.234863,male
0.121634,3.523982,0.973218,0.807552,0.216774,0.067407,0.01626,0.261562,male
0.123002,16.619482,0.915785,0.560407,0.12702,0.12772,0.017279,0.274503,male
0.125469,21.666669,0.876749,0.40391,0.134411,0.132726,0.016563,0.257813,male
0.123529,10.110125,0.875392,0.436706,0.12,0.124685,0.016754,0.799006,male
0.125138,16.424055,0.875611,0.414839,0.133211,0.124533,0.016343,0.244945,male
0.117972,6.870351,0.921132,0.582531,0.133636,0.120254,0.018412,0.372869,male
0.073505,6.334626,0.903982,0.482886,0.134506,0.142748,0.016615,0.239583,male
0.119562,31.078417,0.878207,0.470044,0.135912,0.138904,0.121212,0.260937,male
0.072689,26.589605,0.869836,0.429786,0.137555,0.131376,0.016771,0.187891,male
0.117076,11.784297,0.911851,0.514601,0.132359,0.127529,0.016162,0.328465,male
0.114911,13.726135,0.89357,0.424254,0.137067,0.141183,0.015842,0.313657,male
0.116246,13.265851,0.940659,0.611977,0.121293,0.081564,0.015936,0.346768,male
0.112736,8.939176,0.937849,0.592123,0.121391,0.101681,0.01564,0.419531,male
0.112427,13.907932,0.946349,0.629272,0.121321,0.095597,0.01592,0.607611,male
0.112082,8.564218,0.926522,0.567621,0.12132,0.101719,0.016,0.204153,male
0.105475,22.896445,0.942626,0.635853,0.121287,0.097532,0.01581,0.715745,male
0.113372,17.536425,0.932415,0.567913,0.121214,0.08046,0.016064,0.264129,male
0.116804,7.628756,0.948383,0.632579,0.121278,0.055565,0.016277,0.162642,male
0.114745,8.203832,0.94219,0.613578,0.121225,0.101395,0.015779,0.467797,male
0.11417,10.262074,0.963294,0.727047,0.059926,0.076307,0.016211,0.505859,male
0.117357,7.230188,0.966685,0.753188,0.060197,0.098873,0.018735,0.853299,male
0.112716,19.133217,0.948417,0.682988,0.102603,0.090751,0.017241,0.615313,male
0.11047,13.082297,0.964873,0.73429,0.060127,0.101395,0.021798,0.896282,male
0.111452,10.941306,0.966588,0.7448,0.060045,0.10932,0.026711,0.974688,male
0.11704,7.132438,0.954711,0.684617,0.06005,0.112256,0.02473,0.628701,male
0.123988,11.535716,0.964925,0.739368,0.059941,0.10367,0.015671,0.92048,male
0.117007,29.553647,0.971907,0.763638,0.059951,0.10325,0.021277,0.791667,male
0.18461,8.465574,0.931661,0.549218,0.117904,0.130888,0.020356,0.583417,male
0.178856,5.009017,0.952514,0.659814,0.114812,0.134314,0.060837,1.10875,male
0.100261,2.068455,0.970194,0.754552,0.011655,0.117359,0.015936,1.08676,male
0.144108,10.55072,0.948496,0.670633,0.111874,0.114743,0.02439,0.560033,male
0.109504,6.661533,0.942279,0.610171,0.106442,0.120815,0.033333,1.116667,male
0.136423,7.989101,0.940729,0.585175,0.11309,0.11026,0.027257,0.652778,male
0.144821,5.010379,0.946595,0.621392,0.115893,0.103803,0.015686,0.706342,male
0.137113,5.179449,0.943405,0.595128,0.268978,0.117022,0.016529,0.599144,male
0.130093,7.158765,0.946134,0.631689,0.11248,0.131734,0.054054,0.410547,male
0.12509,6.313517,0.949959,0.646653,0.109395,0.117298,0.018868,0.639617,male
0.04525,24.419622,0.880375,0.344307,0.16619,0.14181,0.016032,0.578125,male
0.06189,7.131329,0.920513,0.403866,0.16689,0.121546,0.015952,0.813179,male
0.070208,5.223786,0.910321,0.358023,0.165265,0.130983,0.016162,0.568287,male
0.075272,11.509485,0.92364,0.485118,0.126839,0.132089,0.01854,1.04852,male
0.107923,13.537515,0.909837,0.395328,0.129558,0.132075,0.026187,0.299279,male
0.11318,8.381557,0.934858,0.520926,0.092257,0.102626,0.020833,0.637835,male
0.050866,6.006801,0.907683,0.386818,0,0.165155,0.015764,1.067057,male
0.11208,25.663216,0.912216,0.507886,0.08426,0.081165,0.016667,0.195313,male
0.063685,5.360319,0.918001,0.362344,0,0.152013,0.021136,0.884549,male
0.104587,4.149302,0.902247,0.298599,0.16619,0.138198,0.016684,0.801339,male
0.07545,8.990048,0.932835,0.427755,0,0.133717,0.018519,1.795625,male
0.076879,15.253787,0.914634,0.412919,0.240643,0.159107,0.020101,0.622656,male
0.066824,6.471364,0.934061,0.512562,0,0.149387,0.0199,0.807112,male
0.104778,10.894108,0.934323,0.467826,0,0.139378,0.025078,1.7525,male
0.056886,5.586837,0.907215,0.302814,0.185474,0.147351,0.0199,1.036865,male
0.092313,4.109994,0.922524,0.394561,0,0.168038,0.018141,1.095129,male
0.095566,112.647988,0.907622,0.319069,0.090012,0.080595,0.015717,0.160572,male
0.085274,50.591462,0.927145,0.296277,0.090012,0.081017,0.01581,0.147274,male
0.075504,45.864161,0.912414,0.284872,0.090058,0.065827,0.016244,0.167783,male
0.093493,74.426493,0.929916,0.381853,0.089971,0.078363,0.015733,0.161784,male
0.09417,116.959309,0.924099,0.314006,0.09009,0.063475,0.015671,0.147959,male
0.088632,44.447039,0.9148,0.299863,0.089966,0.083128,0.01626,0.230183,male
0.07183,66.091165,0.909693,0.295222,0.090131,0.081505,0.016145,0.256893,male
0.081085,33.680113,0.903755,0.271601,0.090117,0.112023,0.01768,0.277018,male
0.081906,85.996792,0.905979,0.307965,0.090117,0.072136,0.017897,0.145559,male
0.094526,34.319165,0.911215,0.257629,0.090097,0.073051,0.015795,0.159201,male
0.150088,671.834241,0.901914,0.562834,0,0.091147,0.01564,0.007813,male
0.165478,903.789086,0.8933,0.553553,0,0.087918,0.016129,0.007813,male
0.163778,714.696895,0.891348,0.576778,0,0.075907,0.016,0.007813,male
0.154566,812.204086,0.883926,0.604149,0,0.092961,0.01636,0.007813,male
0.12135,402.93261,0.906001,0.561684,0,0.087384,0.01581,0.007979,male
0.122574,896.650347,0.900403,0.584464,0,0.09038,0.016615,0.007813,male
0.155576,577.369776,0.939914,0.687643,0,0.100796,0.016393,0.008185,male
0.132473,560.122789,0.854878,0.505371,0,0.081201,0.015795,0.007813,male
0.177862,615.527391,0.852858,0.557142,0,0.094923,0.015795,0.007813,male
0.147641,592.563381,0.908473,0.617015,0,0.081575,0.017602,0.007813,male
0.118163,10.239948,0.919991,0.484101,0.133934,0.110566,0.01741,0.216146,male
0.115332,6.461428,0.937649,0.577807,0.116847,0.101841,0.015656,0.272518,male
0.112392,12.895997,0.933989,0.566987,0.096873,0.097513,0.0199,1.143029,male
0.11017,6.961662,0.95289,0.626023,0.14162,0.126956,0.016495,0.275276,male
0.125089,6.621258,0.923322,0.462385,0.130888,0.111032,0.01766,0.241508,male
0.104439,6.672648,0.909113,0.358371,0.113089,0.128124,0.017076,0.143555,male
0.121267,8.493103,0.912945,0.436573,0.126415,0.125993,0.026667,0.440104,male
0.108968,6.110981,0.927753,0.482047,0.114116,0.113944,0.017429,0.163672,male
0.124111,7.980531,0.909803,0.418645,0.126613,0.110461,0.018433,1.060547,male
0.114214,7.938203,0.926112,0.462042,0.108562,0.111528,0.016194,0.155,male
0.12348,7.546507,0.921624,0.48264,0.120477,0.11109,0.023256,0.917969,male
0.191932,834.800916,0.812734,0.403256,0,0.107765,0.018713,0.007813,male
0.140297,595.744374,0.870832,0.583471,0,0.100032,0.016684,0.007813,male
0.13539,665.149805,0.920756,0.67625,0,0.132119,0.01581,0.008247,male
0.079584,710.135871,0.84343,0.445144,0,0.093611,0.02,0.007813,male
0.133095,880.563785,0.882682,0.598327,0,0.104772,0.02,0.01903,male
0.14364,658.305024,0.939773,0.71647,0,0.107765,0.017957,0.007813,male
0.131467,459.517292,0.920294,0.525147,0.060045,0.086094,0.016343,0.070313,male
0.118804,274.050842,0.922336,0.454643,0.060039,0.072396,0.016293,0.099516,male
0.140626,396.017415,0.921013,0.564292,0.060054,0.082758,0.0199,0.08997,male
0.15001,392.954344,0.904218,0.519067,0.060057,0.057045,0.018454,0.070313,male
0.143886,348.98963,0.913021,0.486051,0.06005,0.075929,0.016327,0.075758,male
0.134142,416.183638,0.921257,0.51932,0.059944,0.081219,0.015889,0.073828,male
0.129611,351.444274,0.913766,0.467166,0.060122,0.081858,0.016178,0.165625,male
0.153347,307.035082,0.906152,0.504633,0.060212,0.060966,0.016227,0.070313,male
0.123841,235.710669,0.919074,0.512956,0.060061,0.075178,0.016327,0.082176,male
0.133925,331.371838,0.91597,0.541932,0.060197,0.074281,0.015968,0.076451,male
0.087128,7.1912,0.916002,0.301161,0.222473,0.116122,0.01867,0.956473,male
0.074544,7.89827,0.902248,0.240631,0.230471,0.115129,0.02213,1.016357,male
0.079563,8.238183,0.899683,0.25188,0.239042,0.124133,0.027027,0.87064,male
0.093174,10.188958,0.903055,0.248022,0.248584,0.123414,0.023916,0.646151,male
0.080257,15.202523,0.905836,0.290656,0.23817,0.130055,0.031683,0.926107,male
0.150244,8.709018,0.959468,0.728939,0.012717,0.102114,0.018913,0.155859,male
0.146767,8.933406,0.96604,0.75955,0.006671,0.103533,0.018692,0.136875,male
0.144096,6.863102,0.961702,0.727935,0.003351,0.094653,0.01898,0.291016,male
0.11617,11.894474,0.927998,0.599908,0.005213,0.109043,0.021248,0.335625,male
0.138689,8.190791,0.960952,0.72381,0.097979,0.097562,0.01631,0.294866,male
0.138339,5.024129,0.965299,0.738215,0.004078,0.099846,0.019277,0.328355,male
0.135663,8.394248,0.962887,0.749296,0.098078,0.10403,0.018244,0.466974,male
0.151207,19.920003,0.959591,0.73526,0.004447,0.076737,0.015984,0.119655,male
0.145132,10.447534,0.958425,0.721548,0.006979,0.101642,0.017857,0.135417,male
0.140781,11.181961,0.956193,0.707622,0.009958,0.106525,0.015748,0.305707,male
0.124786,992.93382,0.937321,0.676823,0,0.110127,0.015764,0.014773,male
0.153892,910.944401,0.937912,0.665251,0,0.105228,0.016512,0.016719,male
0.172614,656.490605,0.927355,0.628398,0,0.101964,0.015702,0.021034,male
0.13185,6.490302,0.967592,0.755378,0.144075,0.112681,0.017204,0.394717,male
0.177591,611.303524,0.929761,0.662277,0,0.092354,0.016097,0.007813,male
0.173892,678.335355,0.906791,0.612515,0,0.1028,0.016649,0.020508,male
0.172207,897.422258,0.910824,0.614425,0,0.105633,0.015826,0.018483,male
0.181713,592.189381,0.90322,0.597357,0,0.104676,0.016048,0.041756,male
0.172216,827.567131,0.878151,0.542785,0,0.107386,0.01898,0.007813,male
0.166297,798.071532,0.934388,0.674844,0,0.086614,0.016194,0.016959,male
0.14238,331.37748,0.9253,0.523066,0.059938,0.089305,0.015826,0.164885,male
0.141223,410.65573,0.918984,0.526704,0.060048,0.079046,0.016277,0.10067,male
0.124098,415.882462,0.919408,0.519774,0.060048,0.076996,0.01636,0.087946,male
0.133619,453.239648,0.91857,0.579548,0.060054,0.076255,0.016563,0.071825,male
0.147471,460.26125,0.914319,0.48376,0.059949,0.07347,0.016113,0.083757,male
0.117209,598.39264,0.926462,0.534102,0.060097,0.071791,0.016377,0.090461,male
0.138347,623.563096,0.915976,0.532476,0.060037,0.077557,0.016244,0.08505,male
0.125693,602.716152,0.920157,0.554993,0.059951,0.071474,0.016277,0.070313,male
0.144337,394.969506,0.915417,0.481694,0.060048,0.068518,0.016327,0.095312,male
0.140584,514.178305,0.926782,0.528599,0.060036,0.08987,0.015905,0.078804,male
0.114242,16.429821,0.937552,0.623611,0.050181,0.108795,0.034707,1.107143,male
0.12173,34.485625,0.961784,0.729937,0.050088,0.103376,0.017167,1.16887,male
0.156755,17.947591,0.966312,0.759154,0.05008,0.093395,0.02,1.28377,male
0.149238,27.723483,0.969099,0.782449,0.050088,0.110761,0.019851,1.711516,male
0.162786,44.077916,0.966472,0.769193,0.050088,0.107189,0.024096,0.715693,male
0.156416,22.328899,0.969287,0.781729,0.050181,0.109992,0.01726,1.240954,male
0.137207,28.798171,0.968002,0.762243,0.05008,0.107986,0.017354,1.761127,male
0.12912,30.956278,0.959747,0.727327,0.050088,0.10282,0.01812,1.457933,male
0.114935,27.286498,0.94959,0.652265,0.050129,0.087281,0.018497,2.100312,male
0.123538,10.783439,0.895111,0.333553,0,0.090939,0.015702,0.118719,male
0.100791,9.072179,0.931091,0.560896,0.104794,0.086565,0.016277,0.329346,male
0.10657,15.1788,0.93455,0.578405,0.083969,0.088512,0.016667,0.395148,male
0.109746,13.21178,0.927861,0.567241,0.101144,0.078778,0.017335,0.105469,male
0.119412,7.154135,0.934637,0.575084,0.099967,0.112568,0.021769,0.56901,male
0.095547,13.648456,0.933989,0.572281,0.085669,0.09356,0.015733,0.239583,male
0.10425,13.827785,0.933477,0.572291,0.083509,0.108234,0.039604,0.663802,male
0.114506,14.436912,0.932131,0.543657,0.083356,0.095089,0.018391,0.747984,male
0.107974,9.172248,0.931106,0.556354,0.101797,0.10551,0.021563,0.26527,male
0.101042,11.236161,0.93263,0.572082,0.083964,0.084462,0.016064,0.233705,male
0.125046,17.153565,0.931458,0.564359,0.085719,0.097881,0.01631,0.214193,male
0.115596,3.816856,0.968797,0.781834,0.008807,0.124567,0.016842,0.101103,male
0.122182,5.315259,0.965148,0.764574,0.112783,0.122605,0.016178,0.119792,male
0.127467,4.374227,0.971211,0.789685,0.009067,0.142062,0.020434,0.146484,male
0.149067,8.405812,0.961016,0.736413,0.108533,0.110157,0.017094,0.23112,male
0.129613,7.510033,0.962372,0.771881,0.127355,0.1086,0.033058,0.135937,male
0.116197,5.848927,0.975387,0.822587,0.127703,0.127453,0.015671,0.11899,male
0.122561,8.721391,0.955491,0.715342,0.123539,0.098098,0.016807,0.106771,male
0.107933,7.904866,0.967419,0.778549,0.118361,0.119752,0.015764,0.347656,male
0.14204,8.230453,0.951332,0.677629,0.106339,0.114736,0.016016,0.1475,male
0.104071,12.28609,0.919072,0.609237,0.143717,0.124045,0.025478,0.151562,male
0.120884,7.072493,0.946172,0.658351,0.015293,0.085122,0.016064,1.655692,male
0.106442,6.776298,0.945549,0.649529,0.163667,0.085837,0.021651,0.673234,male
0.121867,8.4867,0.951695,0.67771,0.16042,0.091389,0.015702,0.777114,male
0.111914,7.298108,0.966915,0.763373,0.178663,0.094506,0.018626,0.970898,male
0.113681,18.739979,0.951966,0.685155,0.172924,0.091533,0.025316,0.88923,male
0.129298,5.371888,0.970478,0.787403,0.021231,0.093467,0.016016,1.248343,male
0.105984,9.538397,0.943606,0.635588,0.182665,0.088959,0.017241,1.149251,male
0.111702,8.127694,0.953168,0.681603,0.185239,0.106672,0.017204,0.77474,male
0.125413,4.512376,0.972912,0.776357,0.200305,0.092796,0.015952,0.66769,male
0.106811,6.252862,0.953233,0.664847,0.181193,0.09165,0.018038,0.845788,male
0.100583,4.138927,0.945294,0.602794,0.218533,0.12743,0.017602,1.107244,male
0.116514,5.243747,0.964783,0.729355,0.015614,0.119785,0.019536,1.447656,male
0.101368,6.069666,0.953991,0.631997,0.016863,0.120378,0.01592,1.270625,male
0.129719,9.131403,0.974767,0.793454,0.017526,0.119851,0.017167,2.027778,male
0.092748,5.769633,0.9401,0.525316,0.214003,0.113754,0.016546,1.359375,male
0.132811,13.636389,0.962901,0.738547,0.015267,0.121152,0.016194,1.591734,male
0.126941,13.880795,0.945885,0.650573,0.015446,0.115707,0.051118,1.306581,male
0.099337,5.980398,0.950563,0.667931,0.20577,0.104839,0.022504,1.089134,male
0.095883,5.822875,0.931611,0.555786,0.183227,0.093218,0.017857,1.082422,male
0.105049,12.957511,0.951028,0.685496,0.016402,0.107672,0.018038,1.003038,male
0.1104,3.819471,0.944715,0.598206,0.208267,0.109008,0.016512,0.246324,male
0.103158,4.167449,0.939683,0.50866,0.122443,0.120185,0.018957,0.663125,male
0.106244,16.417189,0.910844,0.465367,0.223524,0.116419,0.020305,0.331845,male
0.109268,10.692241,0.940327,0.608047,0.220656,0.107101,0.024615,0.536892,male
0.109191,3.901684,0.924608,0.40922,0.211737,0.117565,0.015779,0.384943,male
0.10954,9.287996,0.927515,0.554522,0.211931,0.103156,0.032193,0.409856,male
0.105694,6.581619,0.927651,0.462425,0.215146,0.111501,0.018519,0.387939,male
0.100997,13.801889,0.914835,0.467147,0.213284,0.11049,0.03653,0.458125,male
0.114241,4.918714,0.925363,0.445586,0.115405,0.116298,0.021108,0.652344,male
0.107023,5.53373,0.934316,0.535276,0.214568,0.113219,0.017149,0.816272,male
0.106244,11.762188,0.920326,0.480294,0.223308,0.105128,0.015779,0.49349,male
0.092851,12.95779,0.954684,0.670205,0,0.105465,0.018018,0.066189,male
0.154611,26.678369,0.944929,0.656899,0,0.116308,0.016529,0.096644,male
0.149539,16.449029,0.94629,0.658518,0,0.118943,0.019254,0.166406,male
0.11887,25.18956,0.935119,0.64284,0,0.102382,0.015857,0.07625,male
0.132135,24.360696,0.927987,0.617386,0,0.116251,0.01741,0.149414,male
0.119117,38.883051,0.91704,0.542517,0,0.119859,0.016546,0.104353,male
0.116283,7.890927,0.859712,0.084934,0.248978,0.133667,0.028319,0.818125,male
